,gene_id
chr1-778276-779191,ENSG00000237491
chr1-822804-823597,ENSG00000228794
chr1-827067-827948,ENSG00000228794
chr1-838003-838737,ENSG00000228794
chr1-841079-841916,ENSG00000228794
chr1-842497-843414,ENSG00000228794
chr1-844132-844995,ENSG00000228794
chr1-857951-858596,ENSG00000228794
chr1-865397-866322,ENSG00000228794
chr1-958865-959755,ENSG00000188976
chr1-960362-961092,ENSG00000188976
chr1-998647-999397,ENSG00000187608
chr1-999937-1000449,ENSG00000187608
chr1-1000553-1001085,ENSG00000187608
chr1-1001650-1002463,ENSG00000187608
chr1-1004791-1005643,ENSG00000187608
chr1-1008881-1009758,ENSG00000187608
chr1-1013003-1013921,ENSG00000187608
chr1-1098904-1099765,ENSG00000131591
chr1-1103977-1104847,ENSG00000131591
chr1-1115800-1116696,ENSG00000131591
chr1-1216767-1217568,ENSG00000078808
chr1-1219124-1219990,ENSG00000078808
chr1-1221799-1222650,ENSG00000078808
chr1-1231675-1232596,ENSG00000078808
chr1-1259822-1260759,ENSG00000160087
chr1-1261922-1262753,ENSG00000160087
chr1-1264837-1265679,ENSG00000160087
chr1-1267340-1268176,ENSG00000160087
chr1-1273488-1274400,ENSG00000160087
chr1-1291549-1292410,ENSG00000131584
chr1-1293405-1294303,ENSG00000131584
chr1-1305205-1306136,ENSG00000131584
chr1-1307807-1308738,ENSG00000131584
chr1-1324303-1325203,ENSG00000127054
chr1-1349039-1349947,ENSG00000107404
chr1-1374956-1375847,ENSG00000175756
chr1-1399018-1399920,ENSG00000221978
chr1-1406892-1407778,ENSG00000242485
chr1-1471241-1472141,ENSG00000160072
chr1-1479293-1480068,ENSG00000160072
chr1-1485477-1486378,ENSG00000160072
chr1-1511552-1512439,ENSG00000197785
chr1-1532703-1533496,ENSG00000197785
chr1-1550598-1551449,ENSG00000160075
chr1-1574356-1575263,ENSG00000160075
chr1-1615083-1615895,ENSG00000197530
chr1-1629783-1630703,ENSG00000197530
chr1-1636539-1637279,ENSG00000248333
chr1-1647641-1648499,ENSG00000248333
chr1-1658666-1659578,ENSG00000189339
chr1-1665499-1666105,ENSG00000189339
chr1-1669410-1670335,ENSG00000189339
chr1-1677585-1678477,ENSG00000189339
